Quote,Author,Tags,Cleaned_Quote,Tokens
“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,Albert Einstein,"change, deep-thoughts, thinking, world",the world as we have created it is a process of our thinking it cannot be changed without changing our thinking,"['world', 'created', 'process', 'thinking', 'cannot', 'changed', 'without', 'changing', 'thinking']"
"“It is our choices, Harry, that show what we truly are, far more than our abilities.”",J.K. Rowling,"abilities, choices",it is our choices harry that show what we truly are far more than our abilities,"['choices', 'harry', 'show', 'truly', 'far', 'abilities']"
“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,Albert Einstein,"inspirational, life, live, miracle, miracles",there are only two ways to live your life one is as though nothing is a miracle the other is as though everything is a miracle,"['two', 'ways', 'live', 'life', 'one', 'though', 'nothing', 'miracle', 'though', 'everything', 'miracle']"
"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",Jane Austen,"aliteracy, books, classic, humor",the person be it gentleman or lady who has not pleasure in a good novel must be intolerably stupid,"['person', 'gentleman', 'lady', 'pleasure', 'good', 'novel', 'must', 'intolerably', 'stupid']"
"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”",Marilyn Monroe,"be-yourself, inspirational",imperfection is beauty madness is genius and its better to be absolutely ridiculous than absolutely boring,"['imperfection', 'beauty', 'madness', 'genius', 'better', 'absolutely', 'ridiculous', 'absolutely', 'boring']"
“Try not to become a man of success. Rather become a man of value.”,Albert Einstein,"adulthood, success, value",try not to become a man of success rather become a man of value,"['try', 'become', 'man', 'success', 'rather', 'become', 'man', 'value']"
“It is better to be hated for what you are than to be loved for what you are not.”,André Gide,"life, love",it is better to be hated for what you are than to be loved for what you are not,"['better', 'hated', 'loved']"
"“I have not failed. I've just found 10,000 ways that won't work.”",Thomas A. Edison,"edison, failure, inspirational, paraphrased",i have not failed ive just found  ways that wont work,"['failed', 'ive', 'found', 'ways', 'wont', 'work']"
“A woman is like a tea bag; you never know how strong it is until it's in hot water.”,Eleanor Roosevelt,misattributed-eleanor-roosevelt,a woman is like a tea bag you never know how strong it is until its in hot water,"['woman', 'like', 'tea', 'bag', 'never', 'know', 'strong', 'hot', 'water']"
"“A day without sunshine is like, you know, night.”",Steve Martin,"humor, obvious, simile",a day without sunshine is like you know night,"['day', 'without', 'sunshine', 'like', 'know', 'night']"
